	chao1
515rcbc257	85.54545454545455
515rcbc255	121.47619047619048
515rcbc247	78.0909090909091
515rcbc263	104.75
515rcbc479	239.21428571428572
515rcbc267	109.65217391304348
515rcbc454	11.0
515rcbc496	196.47368421052633
515rcbc484	238.84375
515rcbc264	106.0
515rcbc239	127.33333333333333
515rcbc495	76.05263157894737
515rcbc243	139.88235294117646
515rcbc254	129.16666666666666
515rcbc271	90.16666666666667
515rcbc464	48.3
515rcbc240	69.16666666666667
515rcbc472	70.06666666666666
515rcbc259	91.33333333333333
515rcbc265	103.71428571428571
515rcbc249	127.63636363636364
515rcbc256	107.08333333333333
515rcbc251	171.57142857142858
515rcbc466	4.0
515rcbc470	55.42857142857143
515rcbc245	82.5
515rcbc269	120.5
515rcbc457	99.46153846153847
515rcbc471	88.0
515rcbc262	99.08333333333333
515rcbc478	129.27272727272728
515rcbc465	61.05882352941177
515rcbc253	144.25
515rcbc242	159.21428571428572
515rcbc467	77.07692307692308
515rcbc268	89.9375
515rcbc261	99.1875
515rcbc461	92.21428571428571
515rcbc493	146.4
515rcbc252	169.3030303030303
515rcbc241	69.05882352941177
515rcbc480	269.27272727272725
515rcbc482	268.3333333333333
515rcbc456	105.6
515rcbc250	62.333333333333336
515rcbc266	101.63636363636364
515rcbc462	35.0
515rcbc244	120.36363636363636
515rcbc248	24.0
515rcbc270	119.44117647058823
515rcbc258	94.05882352941177
515rcbc483	90.41666666666667
515rcbc477	76.0
515rcbc458	2.0
