	chao1_ci
515rcbc257	(85.05135719292186, 90.79316438906066)
515rcbc255	(121.04588330200048, 125.94204557492772)
515rcbc247	(78.00340505870186, 80.42711316706334)
515rcbc263	(104.07783515974468, 111.2268111460834)
515rcbc479	(239.013831953972, 242.31973106908154)
515rcbc267	(109.07495508397699, 114.67447583655621)
515rcbc454	(11, 11.088575235998519)
515rcbc496	(195.24607192122033, 203.82565203532516)
515rcbc484	(236.68749995359215, 247.76278488492463)
515rcbc264	(106, 106)
515rcbc239	(127.02610075704894, 131.25700721641175)
515rcbc495	(76.00157897332787, 77.75435712155945)
515rcbc243	(139.1132582455981, 145.8740841665998)
515rcbc254	(128.17306407463417, 135.86478137642493)
515rcbc271	(89.17306407463418, 96.8647813764249)
515rcbc464	(48.02052199792915, 52.38553791452006)
515rcbc240	(69.00903219786598, 72.07541732255824)
515rcbc472	(70.00220701323683, 72.01378241430031)
515rcbc259	(91.02365925620744, 95.69630617872764)
515rcbc265	(103.08006471723202, 109.3723959725496)
515rcbc249	(127.07533535776129, 132.3754132152544)
515rcbc256	(107.00301738529171, 109.30147752874339)
515rcbc251	(169.51606199377562, 181.81288871823818)
515rcbc466	(4, 4.020680704177275)
515rcbc470	(55.03704364534385, 59.958298992521776)
515rcbc245	(79.69726272417593, 96.56870054179042)
515rcbc269	(120.04913272113441, 125.08825878615761)
515rcbc457	(96.76727363268759, 111.61665618397308)
515rcbc471	(88, 88)
515rcbc262	(99.00301738529171, 101.30147752874339)
515rcbc478	(129.01961440051767, 132.79212024462817)
515rcbc465	(61.00184915117028, 62.87124106891229)
515rcbc253	(144.0159831889967, 147.91035856567368)
515rcbc242	(159.01289406090834, 162.56120291918816)
515rcbc467	(77.00269834356918, 79.19288597304423)
515rcbc268	(89.12278340307364, 96.15818447769217)
515rcbc261	(99.01068087756654, 102.2915132470118)
515rcbc461	(92.01289406090834, 95.56120291918822)
515rcbc493	(144.4748107222259, 156.13114980427875)
515rcbc252	(169.0239681931023, 172.83121765427924)
515rcbc241	(69.00184915117028, 70.87124106891228)
515rcbc480	(269.01961440051764, 272.7921202446282)
515rcbc482	(266.43628622509107, 278.47906564849313)
515rcbc456	(105.06670194678891, 110.39714382159326)
515rcbc250	(59.503451367863505, 81.06987967529673)
515rcbc266	(100.29358490483787, 109.1206526844151)
515rcbc462	(35, 35.0)
515rcbc244	(119.1990051526219, 128.34399993031576)
515rcbc248	(24, 24)
515rcbc270	(119.04298629297868, 123.52787771900243)
515rcbc258	(94.00184915117028, 95.87124106891228)
515rcbc483	(90.0379789974244, 94.57123997168856)
515rcbc477	(76, 76.0)
515rcbc458	(2, 2.143143891944052)
