	shannon
515rcbc257	4.108433280060213
515rcbc255	4.5636550858673575
515rcbc247	3.976233178343826
515rcbc263	4.1755386523297755
515rcbc479	5.638275469326181
515rcbc267	3.1271777116220933
515rcbc454	2.9562357592921056
515rcbc496	2.4195779242872852
515rcbc484	4.368253583510031
515rcbc264	4.334700167316528
515rcbc239	4.037866881331466
515rcbc495	2.1499199882080697
515rcbc243	4.689367755418605
515rcbc254	4.344843743017878
515rcbc271	2.8001906582184497
515rcbc464	2.1737120429029706
515rcbc240	3.68125362397157
515rcbc472	3.114123446679774
515rcbc259	3.876197771036263
515rcbc265	3.3219218225255167
515rcbc249	4.481892531943898
515rcbc256	3.976614331240635
515rcbc251	4.468955974906102
515rcbc466	1.2055377054339145
515rcbc470	3.6132186373644144
515rcbc245	3.1646392081071237
515rcbc269	3.7086603467274224
515rcbc457	3.6680230975396753
515rcbc471	3.5708076269279743
515rcbc262	3.971715390434837
515rcbc478	3.411920274713651
515rcbc465	2.6044000838271177
515rcbc253	5.249913123696009
515rcbc242	4.792568108089295
515rcbc467	3.4273013520892217
515rcbc268	1.9916249094964698
515rcbc261	3.813734556815373
515rcbc461	2.5253117112464802
515rcbc493	3.230270376850576
515rcbc252	4.016871104049462
515rcbc241	3.608068659934728
515rcbc480	5.149972850986335
515rcbc482	6.36406242038545
515rcbc456	3.700921641879126
515rcbc250	3.428492142896843
515rcbc266	1.737871922029723
515rcbc462	1.5854487388450564
515rcbc244	4.955373232748012
515rcbc248	3.4977778904917933
515rcbc270	2.9135536091909415
515rcbc258	3.9027563798451697
515rcbc483	4.533441706715351
515rcbc477	3.3291252245751886
515rcbc458	0.6500224216483541
