index,Unassigned;__;__,k__Bacteria;p__Absconditabacteria_(SR1);c__Absconditabacteria_(SR1)_[C-1],k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidetes_[C-1],k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Erysipelotrichia,k__Bacteria;p__Firmicutes;c__Mollicutes,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__Gracilibacteria_(GN02);c__Gracilibacteria_(GN02)_[C-1],k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Saccharibacteria_(TM7);c__Saccharibacteria_(TM7)_[C-1],k__Bacteria;p__Spirochaetes;c__Spirochaetia,k__Bacteria;p__Synergistetes;c__Synergistia,Sample Name,Individual (A-L),Oil Pulling - Before (2) or After (1)?,Sampling Day #,Dietary Notes
515rcbc257,2.0,0.0,3865.0,0.0,0.0,2.0,1868.0,205.0,0.0,4977.0,0.0,0.0,0.0,355.0,546.0,5.0,0.0,0.0,1478.0,57.0,10918.0,0.0,0.0,0.0,AH A1,D,1,1.0,R
515rcbc255,3.0,0.0,1808.0,2.0,0.0,0.0,1482.0,66.0,0.0,2640.0,56.0,0.0,3.0,769.0,1036.0,3.0,0.0,0.0,1141.0,70.0,4045.0,11.0,10.0,0.0,AB B2,C,2,16.0,V
515rcbc247,0.0,0.0,1490.0,0.0,0.0,0.0,504.0,588.0,0.0,2490.0,6.0,0.0,0.0,233.0,557.0,0.0,0.0,0.0,2878.0,42.0,7014.0,2.0,0.0,0.0,ZM A3,B,1,31.0,R
515rcbc263,0.0,0.0,8669.0,11.0,0.0,0.0,780.0,433.0,7.0,2737.0,110.0,0.0,0.0,965.0,1409.0,0.0,0.0,4.0,1392.0,237.0,5659.0,46.0,10.0,0.0,TH A1,E,1,1.0,R
515rcbc479,2.0,2.0,4892.0,8.0,0.0,29.0,1534.0,258.0,83.0,652.0,395.0,9.0,6.0,586.0,922.0,0.0,0.0,0.0,1777.0,162.0,1447.0,17.0,350.0,9.0,SC A1,J,1,1.0,R
515rcbc267,9.0,0.0,2440.0,0.0,0.0,0.0,149.0,46.0,4.0,4380.0,5.0,0.0,0.0,337.0,160.0,3.0,0.0,2.0,2047.0,15.0,8532.0,0.0,6.0,0.0,TH B2,E,2,16.0,R
515rcbc454,0.0,0.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,YZ B1,F,2,1.0,R
515rcbc496,158.0,33.0,2938.0,0.0,23.0,0.0,681.0,208.0,0.0,46456.0,65.0,0.0,0.0,154.0,340.0,0.0,0.0,41.0,1066.0,42.0,71641.0,2.0,46.0,0.0,AC B3,L,2,31.0,R
515rcbc484,3.0,21.0,2905.0,6.0,0.0,53.0,1892.0,163.0,127.0,2568.0,344.0,22.0,23.0,425.0,729.0,0.0,0.0,0.0,779.0,101.0,9354.0,0.0,637.0,22.0,SC B3,J,2,31.0,R
515rcbc264,2.0,0.0,8368.0,5.0,0.0,0.0,1268.0,936.0,4.0,1099.0,94.0,0.0,0.0,1406.0,1210.0,0.0,0.0,0.0,1714.0,452.0,2787.0,20.0,10.0,0.0,TH A2,E,1,16.0,R
515rcbc239,22.0,2.0,14884.0,0.0,0.0,0.0,2278.0,317.0,0.0,6300.0,43.0,0.0,0.0,445.0,1329.0,0.0,0.0,0.0,2261.0,54.0,7739.0,9.0,0.0,0.0,PM A1,A,1,1.0,R
